departure_hour,start_hex_id,end_hex_id,demands
22,199,EastBound,181.58026
22,200,200,34.22830434
22,205,205,75.51687156
22,207,207,39.16767054
22,239,239,84.10840272
22,EastBound,155,97.0098006
22,EastBound,158,94.28575272
22,EastBound,175,82.25961876
22,WestBound,149,61.24276824
23,145,196,54.4165476
